total	pitch	player	tau	brier	n_pitchers	exp	val	decay	alpha	n_feat	n_train	sec
63.97697665501998	69.84955281299679	50.274298953074116	0.005485979061482307	0.6030089437400644	303	hist_rf-noBat-n300-mf03	2023	1.0	100.0	52	790308	46
70.80514608168582	69.93725161894149	72.83023316142258	0.4566046632284517	0.6012549676211704	306	hist_rf-noBat-n300-mf03	2022	1.0	100.0	52	586361	34
66.93991389410954	69.74446819250011	60.39595386453157	0.20791907729063147	0.6051106361499979	321	naive-all	2024	1.0	100.0	61	1002910	5
66.44350104726625	69.74436097350826	58.74149455270158	0.17482989105403166	0.6051127805298345	303	naive-all	2023	1.0	100.0	61	790308	3
67.17503960672963	69.63892796434624	61.425966772290884	0.22851933544581776	0.6072214407130752	306	naive-all	2022	1.0	100.0	61	586361	2
68.41204552280192	69.87704569164487	64.99371179550174	0.2998742359100348	0.6024590861671026	262	base_rf-evalR	2024	1.0	100.0	49	1002910	28
68.00648748936783	69.85049908153158	63.70379377431906	0.2740758754863813	0.6029900183693685	257	base_rf-evalR	2023	1.0	100.0	49	790308	22
68.68374510874906	70.1781668089669	65.19676114157413	0.30393522283148267	0.5964366638206618	249	base_rf-evalR	2022	1.0	100.0	49	586361	14
67.9735187401537	70.00175056569744	63.24097781388499	0.2648195562776998	0.5999649886860513	321	base_rf-n300-d14-l100	2024	1.0	100.0	49	1002910	62
64.21755304932988	69.87662650274268	51.013048324700016	0.020260966494000394	0.6024674699451464	303	base_rf-n300-d14-l100	2023	1.0	100.0	49	790308	33
70.66479697097185	69.9332947326026	72.37163552716677	0.4474327105433352	0.601334105347948	306	base_rf-n300-d14-l100	2022	1.0	100.0	49	586361	22
68.78921968208391	69.88565120103165	66.23087947120587	0.32461758942411745	0.602286975979367	262	hist_lgbm_reg-evalR	2024	1.0	100.0	61	1002910	107
68.66096794541122	69.83442196759691	65.92290856031128	0.31845817120622566	0.6033115606480619	257	hist_lgbm_reg-evalR	2023	1.0	100.0	61	790308	52
68.86239662887888	70.17936360161599	65.78947369249231	0.3157894738498461	0.5964127279676801	249	hist_lgbm_reg-evalR	2022	1.0	100.0	61	586361	43
68.53761872356661	69.87343042561184	65.42072475212775	0.3084144950425551	0.602531391487763	262	hist_lgbm_reg-evalR-noGT	2024	1.0	100.0	60	1002910	30
68.6123492825823	69.85225481169346	65.71923638132296	0.31438472762645914	0.6029549037661307	257	hist_lgbm_reg-evalR-noGT	2023	1.0	100.0	60	790308	18
68.82026404571324	70.14415973788178	65.73117409732002	0.3146234819464005	0.5971168052423643	249	hist_lgbm_reg-evalR-noGT	2022	1.0	100.0	60	586361	15
68.8572878665656	69.88010752394092	66.47070866602323	0.32941417332046447	0.6023978495211817	262	hist_lgbm_reg-evalR-trainR-noGT-noTeam-noBat	2024	1.0	100.0	47	907943	18
68.89500264766319	69.83393582795688	66.70415856031128	0.33408317120622566	0.6033212834408627	257	hist_lgbm_reg-evalR-trainR-noGT-noTeam-noBat	2023	1.0	100.0	47	716803	15
68.90357973004708	70.20071829210268	65.87692308525072	0.3175384617050145	0.5959856341579465	249	hist_lgbm_reg-evalR-trainR-noGT-noTeam-noBat	2022	1.0	100.0	47	533379	25
67.99799871997047	69.65612893665974	64.12902821436217	0.28258056428724326	0.6068774212668051	262	naive-evalR-histR	2024	1.0	100.0	61	1002910	4
68.16372843899168	69.65529037708704	64.68341725010251	0.2936683450020503	0.6068941924582592	257	naive-evalR-histR	2023	1.0	100.0	61	790308	3
69.13634784839044	69.9679538495173	67.19593384576113	0.34391867691522277	0.6006409230096539	249	naive-evalR-histR	2022	1.0	100.0	61	586361	2
68.70419996966466	69.8782595738563	65.96472755988418	0.31929455119768363	0.6024348085228742	262	base_rf-evalR-histR-trainR	2024	1.0	100.0	49	907943	16
68.64056537020363	69.83914841657774	65.84387159533074	0.31687743190661477	0.6032170316684452	257	base_rf-evalR-histR-trainR	2023	1.0	100.0	49	716803	12
69.25012816193079	70.19468857914623	67.04615385509477	0.3409230771018954	0.5961062284170753	249	base_rf-evalR-histR-trainR	2022	1.0	100.0	49	533379	8
68.98352404022128	69.88119975010993	66.88894738381445	0.3377789476762891	0.6023760049978014	262	hist_lgbm_reg-evalR-trainR-noGT-noTeam-noBat-noSeason	2024	1.0	100.0	46	907943	106
68.58568222747459	69.84672919655904	65.64323929961088	0.3128647859922179	0.6030654160688192	257	hist_lgbm_reg-evalR-trainR-noGT-noTeam-noBat-noSeason	2023	1.0	100.0	46	716803	271
68.68157192497789	70.19588354471246	65.14817814559723	0.30296356291194465	0.5960823291057509	249	hist_lgbm_reg-evalR-trainR-noGT-noTeam-noBat-noSeason	2022	1.0	100.0	46	533379	146
69.03855917707119	69.88837400081229	67.05565792167529	0.3411131584335059	0.602232519983754	262	hist_lgbm_reg-evalR-histR-trainR-noGT-noTeam-noBat	2024	1.0	100.0	47	907943	275
69.17041509355954	69.84044846606339	67.60700389105058	0.35214007782101164	0.6031910306787323	257	hist_lgbm_reg-evalR-histR-trainR-noGT-noTeam-noBat	2023	1.0	100.0	47	716803	160
69.40074200390035	70.21135496982569	67.50931175007454	0.3501862350014909	0.5957729006034862	249	hist_lgbm_reg-evalR-histR-trainR-noGT-noTeam-noBat	2022	1.0	100.0	47	533379	55
